lineId,speakerId,expressionId,backgroundPath,text,nextLineId,affectionChanges,branches,revealSpeakerName,nextScenePath
chapter_moteru_1_015,doute,normal,,……はっ,chapter_moteru_1_016,,,,
chapter_moteru_1_016,doute,normal,,モテルも冗談とか言えるんだな？！,chapter_moteru_1_017,,,,
chapter_moteru_1_017,moteru,normal,,ふふっ、そうだよ。冗談……ね,chapter_moteru_1_018,,,,
chapter_moteru_1_018,doute,normal,,（……なんか含みがあるように思えてしまう！恐るべき顔の良さ……！）,chapter_moteru_1_019,,,,
chapter_moteru_1_019,moteru,normal,,にしても付き合わないと出られない……なんて不思議な話だよね。,chapter_moteru_1_020,,,,
chapter_moteru_1_020,doute,normal,,まぁ、こういうのはお約束の展開だけどリアルに入る日が来るとは思わなかったな……,chapter_moteru_1_021,,,,
chapter_moteru_1_021,moteru,normal,,えっ？ドウテくんはこの部屋知ってるの？さすがだね！,chapter_moteru_1_022,,,,
chapter_moteru_1_022,doute,normal,,あー……そういう漫画、オハナシがあるってだけだけどね。でも裏道の脱出方法は検討つかないかな,chapter_moteru_1_023,,,,
chapter_moteru_1_023,moteru,normal,,そうなんだ……僕もさっきから部屋を調べてるけど脱出のヒントは扉の文字以外見つかりそうにないなぁ,chapter_moteru_1_024,,,,
chapter_moteru_1_024,moteru,normal,,ドウテくんももし気づいたことがあったら教えてね……！手伝えることがあればなんでも言って！,chapter_moteru_1_025,,,,
chapter_moteru_1_025,doute,normal,,（そういえば……モテル自身の話を全然聞けてない気がする……！）,chapter_moteru_1_026,,,,
chapter_moteru_1_026,doute,normal,,（男同士そんなに話してもではあるんだろうけどさっきから恋愛の話でも、脱出でも、俺たちのことばかり。）,chapter_moteru_1_027,,,,
chapter_moteru_1_027,doute,normal,,（……なんか引っかかるな）,chapter_moteru_1_028,,,,
chapter_moteru_1_028,doute,normal,,なぁ、モテル。俺たちのことを気にかけてくれるのは嬉しいんだけどお前自身のことも話してくれないか？,chapter_moteru_1_029,,,,
chapter_moteru_1_029,moteru,normal,,僕のことを……？,chapter_moteru_1_030,,,,
chapter_moteru_1_030,doute,normal,,（モテルは思ってもいないことを言われたのか目を丸くして固まってしまった。俺たちの間に沈黙が流れる。……理由はわからないが、モテルは自分のことを話したくないのかもしれない）,chapter_moteru_1_031,,,,
chapter_moteru_1_031,doute,normal,,あー……もし言いたくないなら、ホント！大丈夫だから……！,chapter_moteru_1_032,,,,
chapter_moteru_1_032,moteru,normal,,……そんなの、そんなこと——,chapter_moteru_1_033,,,,
chapter_moteru_1_033,doute,normal,,……っあ,chapter_moteru_1_034,,,,
chapter_moteru_1_034,moteru,normal,,——もっちろんだよ！なにが聞きたいの？えっとね、僕は今はもうコーヒーとか飲めるようになってねっ！紅茶とかはミルクティーの方が好きだけどストレートも結構好きで、あとはそうそう花屋さんでバイトしてるんだけど説明できるように勉強してたら好きになっちゃってね？僕はひまわりが好きなんだけどドウテくんならバラとか似合うよね！あっいや、きっとなんでも似合うけど……！そうそう今年の夏は黒が流行りみたいだよ！ドウテくんなら絶対似合うと思うし、いやむしろなんでも似合うからもうドウテくんが流行りみたいなものなんだけど……！それとあとは——,chapter_moteru_1_035,,,,
chapter_moteru_1_035,doute,normal,,？！？！？！,chapter_moteru_1_036,,,,
chapter_moteru_1_036,doute,normal,,（驚きすぎて声が出ないでいてもいまだにモテルはとめどなく話しまくっている。しかもときどき俺に対する謎の賛美を交えて……いや、ほんとになんで？？？）,chapter_moteru_1_037,,,,
chapter_moteru_1_037,doute,normal,,……っは！危ない危ない、ついに幻覚を……,chapter_moteru_1_038,,,,
chapter_moteru_1_038,moteru,normal,,やっぱりヒーローとかもかっこよくていや、もちろんドウテくんが1番でむしろドウテくんがヒーローなんだけど……うんぬんかんぬん,chapter_moteru_1_039,,,,
chapter_moteru_1_039,doute,normal,,幻覚じゃない……だと,chapter_moteru_1_040,,,,
chapter_moteru_1_040,doute,normal,,（困惑している俺には気づいていないらしくモテルはそのまま話し続けた。）,,,,,
