lineId,speakerId,expressionId,backgroundPath,text,nextLineId,affectionChanges,branches,revealSpeakerName,nextScenePath
chapter_moteru_5_014,doute,normal,,ていうか俺は鈍感じゃないしっ！さすがにその日記読めば気づかないも何もないだろ！,chapter_moteru_5_015,,,,
chapter_moteru_5_015,yowashi,normal,,ん〜でもさ——,chapter_moteru_5_016,,,,
chapter_moteru_5_016,yowashi,normal,,気づいての現状がこれなら意味はないよねっ！,chapter_moteru_5_017,,,,
chapter_moteru_5_017,doute,normal,,……っ！,chapter_moteru_5_018,,,,
chapter_moteru_5_018,doute,normal,,（図星だった。所詮ゲームでの攻略しか知らない俺には打つ手はなし、当たって砕ける……なんて、そんな勇気もなかった）,chapter_moteru_5_019,,,,
chapter_moteru_5_019,kayo,normal,,そ、そんなしょんぼりしないでっ……！こっちがわるいことしてるみたいじゃない……！,chapter_moteru_5_020,,,,
chapter_moteru_5_020,yowashi,normal,,そうだね〜なにかしてあげられればいいけど……？,chapter_moteru_5_021,,,,
chapter_moteru_5_021,kayo,normal,,やっぱりこういうときはおたがいにぶつかり合うのが大事よねっ！よくわからないタテマエ？とかはむずかしいものっ！,chapter_moteru_5_022,,,,
chapter_moteru_5_022,doute,normal,,う……そうだよね、やっぱり話し合うのが——,chapter_moteru_5_023,,,,
chapter_moteru_5_023,yowashi,normal,,……！整いましたっ！ドウテくんっそこで首を洗って待っているがいいさっ！ほらカヨちゃんもっ！行くよ〜！,chapter_moteru_5_024,,,,
chapter_moteru_5_024,doute,normal,,話し合いは？,chapter_moteru_5_025,,,,
chapter_moteru_5_025,yowashi,normal,,ふふ、これほどの名案はかの孔明も導けぬであろう……！ふははははっ！！！,chapter_moteru_5_026,,,,
chapter_moteru_5_026,doute,normal,,いや、あの話し合い……,chapter_moteru_5_027,,,,
chapter_moteru_5_027,kayo,normal,,じゃあ、元気でね。ドウテ,chapter_moteru_5_028,,,,
chapter_moteru_5_028,doute,normal,,諦めんなよっ！いや、だから話し合いは〜〜～？！？！,chapter_moteru_5_029,,,,
chapter_moteru_5_029,doute,normal,,（数十分後）,chapter_moteru_5_030,,,,
chapter_moteru_5_030,doute,normal,,（……体育座りをしていじけている）,chapter_moteru_5_031,,,,
chapter_moteru_5_031,kayo,normal,,なに、アレ？,chapter_moteru_5_032,,,,
chapter_moteru_5_032,yowashi,normal,,なんだろうね、アレは。まぁいいやっ！ほらほらっこちらにお越しくださいな〜,chapter_moteru_5_033,,,,
chapter_moteru_5_033,doute,normal,,…………,chapter_moteru_5_034,,,,
chapter_moteru_5_034,kayo,normal,,……ホントに大丈夫なのかしら？,chapter_moteru_5_035,,,,
chapter_moteru_5_035,doute,normal,,これは……？,chapter_moteru_5_036,,,,
chapter_moteru_5_036,yowashi,normal,,見ればわかるでしょっ！簡易的な学級裁判であるぞ！,chapter_moteru_5_037,,,,
chapter_moteru_5_037,doute,normal,,いや、相変わらず真っ白な部屋だけど……,chapter_moteru_5_038,,,,
chapter_moteru_5_038,kayo,normal,,ヨワシがわけわからないのは同意するけど、実際話し合いをするのが1番！大丈夫、わたしたちも見てるしあんたがモテルを泣かせそうなら叩いて止めてあげるからっ！,chapter_moteru_5_039,,,,
chapter_moteru_5_039,doute,normal,,俺の失礼が前提なのね……,chapter_moteru_5_040,,,,
chapter_moteru_5_040,yowashi,normal,,まぁまぁっ！ほらっモテルくんも来たし、役者は揃った！いざ、開幕のとき！はーはっはっ！,chapter_moteru_5_041,,,,
chapter_moteru_5_041,yowashi,normal,,あと、これだけ渡しとくねっ！,chapter_moteru_5_042,,,,
chapter_moteru_5_042,doute,normal,,これは……？,chapter_moteru_5_043,,,,
chapter_moteru_5_043,yowashi,normal,,実は拾ってたんだよね〜ドウテくんの日記ってやつ？まぁ、本当に日記かは怪しいところだけど、手がかりにはなるよねっ！,chapter_moteru_5_044,,,,
chapter_moteru_5_044,doute,normal,,（勝手に拾われてたのは恥ずかしいけど、なにかの手がかりにはなるかなっと……）,chapter_moteru_5_045,,,,
chapter_moteru_5_045,doute,normal,,（……これは、恥ずかしくて誰にも見せられないな……ひとまず情報は手に入れたしコレは後で破っておこう）,chapter_moteru_5_046,,,,
chapter_moteru_5_046,moteru,normal,,えっと……2人に連れてこられただけでよくわかってないんだけど、何をすれば……？,chapter_moteru_5_047,,,,
chapter_moteru_5_047,kayo,normal,,あっ説明するのわすれてた……。こほんっえー、2人には……そう！話し合いをしてもらうのっ！だってホンネで話せば、ややこしい事にはならないでしょっ！,chapter_moteru_5_048,,,,
chapter_moteru_5_048,moteru,normal,,話し合いってなんの……？？？,chapter_moteru_5_049,,,,
chapter_moteru_5_049,yowashi,normal,,それはもちろんっ！2人が両思いだってことだよねっ！,chapter_moteru_5_050,,,,
chapter_moteru_5_050,,,,…………はぁ？！？！,chapter_moteru_5_051,,,,
chapter_moteru_5_051,doute,normal,,ちょちょちょちょいちょい、待って！マジで待て！そんなストレートな豪速球投げることある？！！,chapter_moteru_5_052,,,,
chapter_moteru_5_052,moteru,normal,,…………きゅう,chapter_moteru_5_053,,,,
chapter_moteru_5_053,moteru,normal,,（ドターン！！！！）,chapter_moteru_5_054,,,,
chapter_moteru_5_054,doute,normal,,ああぁ、モテルが倒れた！！！,chapter_moteru_5_055,,,,
chapter_moteru_5_055,yowashi,normal,,この人でなし！！！！,chapter_moteru_5_056,,,,
chapter_moteru_5_056,doute,normal,,こっちのセリフじゃない？！,chapter_moteru_5_057,,,,
chapter_moteru_5_057,kayo,normal,,あーもう、うるさいっ！否定しないってことはそうなんでしょ？！付き合えばいいじゃない！！！,chapter_moteru_5_058,,,,
chapter_moteru_5_058,doute,normal,,それは……,chapter_moteru_5_059,,,,
chapter_moteru_5_059,doute,normal,,（それにすぐに頷くことはできなかった。俺はいまだに迷っている、何にかも分からないけれど……）,chapter_moteru_5_060,,,,
chapter_moteru_5_060,moteru,normal,,もう、いいよ,chapter_moteru_5_061,,,,
chapter_moteru_5_061,doute,normal,,モテル？,chapter_moteru_5_062,,,,
chapter_moteru_5_062,moteru,normal,,ふたりはふたりでうまくいってるみたいだし、僕たちが部屋から出ることさえ出来れば問題はないんでしょ？だからさ——,chapter_moteru_5_063,,,,
chapter_moteru_5_063,moteru,normal,,僕と、付き合ってくれるかな。ドウテくん,chapter_moteru_5_064,,,,
chapter_moteru_5_064,moteru,normal,,——それで、この部屋を出たら別れよう。それで全部解決じゃないかな？……ドウテくんには不愉快な思いさせるかもだけど……,chapter_moteru_5_065,,,,
chapter_moteru_5_065,doute,normal,,……！それは——,chapter_moteru_5_066,,,,
chapter_moteru_5_066,doute,normal,,それは、違うぞ！モテルっ！,chapter_moteru_5_067,,,,
chapter_moteru_5_067,doute,normal,,（考えるよりも先に強い否定の言葉が出た）,chapter_moteru_5_068,,,,
chapter_moteru_5_068,moteru,normal,,なんで、そんなことが言えるの……っ？,chapter_moteru_5_069,,,,
chapter_moteru_5_069,moteru,normal,,隠さなくていいよ。ドウテくんは僕のことが、嫌いなんでしょ……？,chapter_moteru_5_070,,,,
chapter_moteru_5_070,moteru,normal,,それに、僕のことまったく覚えてないみたいだし……,chapter_moteru_5_071,,,,
chapter_moteru_5_071,kayo,normal,,ほらっ、モテルに必要なのはあんたの言葉なのよ……！,chapter_moteru_5_072,,,,
chapter_moteru_5_072,doute,normal,,わかってる……けど、何を言えば——,chapter_moteru_5_073,,,,
chapter_moteru_5_073,doute,normal,,（そうだ、プレイヤーさんに相談すれば……）,chapter_moteru_5_074,,,,
chapter_moteru_5_074,doute,normal,,（いや——）,chapter_moteru_5_075,,,,
chapter_moteru_5_075,doute,normal,,俺が、俺の言葉じゃなきゃダメだよな……！,chapter_moteru_5_076,,,,
chapter_moteru_5_076,doute,normal,,モテル！お前の言葉斬らせてもらうぞ……！,chapter_moteru_5_077,,,,
chapter_moteru_5_077,moteru,normal,,えっと……落ち着いた？,chapter_moteru_5_078,,,,
chapter_moteru_5_078,doute,normal,,うぅ……俺の馬鹿っ……！もしかして、モテルが俺と付き合うのに遠慮気味だったのはそれで……？,chapter_moteru_5_079,,,,
chapter_moteru_5_079,moteru,normal,,まぁ、それが一番ではあるかな。もうひとつあるけど……,chapter_moteru_5_080,,,,
chapter_moteru_5_080,doute,normal,,？何を言い淀んでるんだ？,chapter_moteru_5_081,,,,
chapter_moteru_5_081,moteru,normal,,その、ね……ら……だ,chapter_moteru_5_082,,,,
chapter_moteru_5_082,doute,normal,,……？なんて……,chapter_moteru_5_083,,,,
chapter_moteru_5_083,moteru,normal,,ドウテくんの子供が見たかったの！！！,chapter_moteru_5_084,,,,
chapter_moteru_5_084,doute,normal,,へ？？？,chapter_moteru_5_085,,,,
chapter_moteru_5_085,moteru,normal,,だって！僕がドウテくんと付き合ったら結婚まで行くつもりだしっ！そうなったらドウテくんの子供が見れなくなっちゃうでしょっ！世界の損失……！,chapter_moteru_5_086,,,,
chapter_moteru_5_086,doute,normal,,くくっ……！何言ってんだよ……！,chapter_moteru_5_087,,,,
chapter_moteru_5_087,moteru,normal,,……！へへ……ドウテくんは、なんでなの？,chapter_moteru_5_088,,,,
chapter_moteru_5_088,doute,normal,,やっぱり聞きますヨネ……。情けないからあんまり言いたくはないんだけど……,chapter_moteru_5_089,,,,
chapter_moteru_5_089,doute,normal,,その、モテルを幸せにしてやれる自信がなくてさ。正直、今もないけど……,chapter_moteru_5_090,,,,
chapter_moteru_5_090,moteru,normal,,ふふっその優しさを知れただけでも、僕は世界一の幸せ者だよ,chapter_moteru_5_091,,,,
chapter_moteru_5_091,doute,normal,,それは言いすぎ……なぁ、モテル——,chapter_moteru_5_092,,,,
chapter_moteru_5_092,doute,normal,,俺と、付き合ってくれ！！！,chapter_moteru_5_093,,,,
chapter_moteru_5_093,moteru,normal,,っ喜んで……！離しては、あげないからね……？,chapter_moteru_5_094,,,,
chapter_moteru_5_094,doute,normal,,上等！俺から逃げ切れると思うなよっ！,chapter_moteru_5_095,,,,
chapter_moteru_5_095,moteru,normal,,じゃあ、僕からも——,chapter_moteru_5_096,,,,
chapter_moteru_5_096,moteru,normal,,僕と、結婚してください。ドウテくん,chapter_moteru_5_097,,,,
chapter_moteru_5_097,doute,normal,,気が早いな……断るわけはないけどさっ！,chapter_moteru_5_098,,,,
chapter_moteru_5_098,kayo,normal,,まったく、見せつけてくれちゃって……,chapter_moteru_5_099,,,,
chapter_moteru_5_099,yowashi,normal,,カヨちゃん、言葉に反して感動で泣きそうじゃない？,chapter_moteru_5_100,,,,
chapter_moteru_5_100,kayo,normal,,うっさい！ほら、邪魔しないように行くわよ,chapter_moteru_5_101,,,,
chapter_moteru_5_101,yowashi,normal,,我を置いていくなど千年はや——って本当にはやいっ？！待ってよ——！,chapter_moteru_5_102,,,,
chapter_moteru_5_102,moteru,normal,,僕たちも行こうか、忘れものは……まぁ、いいよね,chapter_moteru_5_103,,,,
chapter_moteru_5_103,moteru,normal,,ヒロインの忘れ物は、ヒーローが届けてくれるはずだもの……！,chapter_moteru_5_104,,,,
chapter_moteru_5_104,doute,normal,,（そうして、俺たちはそれぞれ揃って部屋を出た。あの部屋は一体なんだったのか……わからないけれど、今ではもういい思い出だ。）,,,,,
