lineId,speakerId,expressionId,backgroundPath,text,nextLineId,choice1Text,choice1NextLineId,choice2Text,choice2NextLineId,choice3Text,choice3NextLineId,affectionChanges,branches,revealSpeakerName,nextScenePath
chapter_yowashi_5_044,,,,（暗転終わり）,chapter_yowashi_5_045,,,,,,,,,,
chapter_yowashi_5_045,moteru,normal,,ドウテくん！僕はカヨちゃんを本棚の下から助けるから、ヨワシちゃんの手当をしてあげて！,chapter_yowashi_5_046,,,,,,,,,,
chapter_yowashi_5_046,doute,normal,,わかった！モテル、ありがとな,chapter_yowashi_5_047,,,,,,,,,,
chapter_yowashi_5_047,moteru,normal,,こちらこそだよ、ありがとう、ドウテくん！,chapter_yowashi_5_048,,,,,,,,,,
chapter_yowashi_5_048,doute,normal,,（モテルならきっと大丈夫だ。俺はヨワシちゃんを助けてあげないと……！）,chapter_yowashi_5_049,,,,,,,,,,
chapter_yowashi_5_049,doute,normal,,（確かまずは意識の確認……）,chapter_yowashi_5_050,,,,,,,,,,
chapter_yowashi_5_050,doute,normal,,ヨワシちゃん聞こえる？聞こえたら何でもいいから合図して！！,chapter_yowashi_5_051,,,,,,,,,,
chapter_yowashi_5_051,yowashi,normal,,……,chapter_yowashi_5_052,,,,,,,,,,
chapter_yowashi_5_052,doute,normal,,（意識はなさそうだ……次は心拍と呼吸の確認だけど……）,chapter_yowashi_5_053,,,,,,,,,,
chapter_yowashi_5_053,yowashi,normal,,…,chapter_yowashi_5_054,,,,,,,,,,
chapter_yowashi_5_054,doute,normal,,（明らかに呼吸数が減ってきてる。心拍は……ない）,chapter_yowashi_5_055,,,,,,,,,,
chapter_yowashi_5_055,doute,normal,,（やばいやばいやばい！！\n一度深呼吸しよう。そうだ、そういえばあのヨワシちゃんの言葉……）,chapter_yowashi_5_056,,,,,,,,,,
chapter_yowashi_5_056,,,,（回想）,chapter_yowashi_5_057,,,,,,,,,,
chapter_yowashi_5_057,yowashi,normal,,何よりドウテくんもいるしね〜,chapter_yowashi_5_058,,,,,,,,,,
chapter_yowashi_5_058,,,,（回想終わり）,chapter_yowashi_5_059,,,,,,,,,,
chapter_yowashi_5_059,doute,normal,,（そうだ、ヨワシちゃんはきっと俺なら助けてくれると信じてたんだ。それにヨワシちゃんがくれた医学書も、そんなに都合よく喘息の本が落ちてると思えないし……\nきっともし自分に何かあった時に助けてくれると信じて、俺に医学書を渡してくれたんじゃないか？）,chapter_yowashi_5_060,,,,,,,,,,
chapter_yowashi_5_060,doute,normal,,ヨワシちゃんは俺が必ず助ける！,,,,,,,,,,,
